frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
9.4350,Херсон,27 декабря 2013,AM,Голос,Радиовещательная,USA via Germany,R. Liberty
9.5650,Херсон,28 декабря 2013,AM,Голос,Радиовещательная,Brazil,Super R. Deus e Amor
1297.0000,Москва,7 октября 2014,NFM,Голос + CTCSS,Любительская,Линк radiocult.ru на севере Москвы,
131.6000,Рига,28 декабря 2013,AM,Голос,Воздушная подвижная,Аэропорт Рига (RIX/EVRA),Транзит (Transit)
421.8250,Санкт-Петербург,28 декабря 2013,NFM,DMR,Сухопутная подвижная,Морской порт-??,
9.4700,Херсон,27 декабря 2013,AM,Голос,Радиовещательная,Germany via Rwanda,Deutsche Welle
147.0500,Орехово-Зуево,27 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси г. Рязань,номера
133.3000,Нижневартовск,27 декабря 2013,AM,Голос,Воздушная подвижная,Аэропорт Нижневартовск,Тюмень-Контроль
447.9750,Рига,26 декабря 2013,цифровая,цифровой,Фиксированная (передача данных),Управление светофорами,
449.4750,Рига,26 декабря 2013,цифровая,цифровой,Фиксированная (передача данных),Управление светофорами,
162.3500,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Управление морских и внутренних вод,Вентспилс Радио 19
156.6000,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Таможня,Вентспилс Муйта
156.5500,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Пограничная охрана,Торнис - 7
160.7750,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Аварийно-спасательная служба,Краста апсардзе
162.0500,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Служба поддерживания судоходства,Вентспилс Радио 20
162.4500,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Вентбункерс,Вентспилс 93
162.2500,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Буксиры,Вентспилс Радио 6
162.1000,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Портнадзор Свободного порта,Вентспилс порт контрол
156.3750,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Вентамонякс,Вентспилс 91
156.8000,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Служба движения судов,Вентспилс весел трафик
156.4500,Вентспилс,26 декабря 2013,NFM,Голос,Морская подвижная,Служба движения судов,Вентспилс весел трафик
0.9270,Херсон,26 декабря 2013,AM,Голос,Радиовещательная,Turkey,TRT 1 Radyo
7.5700,Херсон,25 декабря 2013,AM,Голос,Радиовещательная,USA,The Overcomer Ministry
7.5550,Херсон,25 декабря 2013,AM,Голос,Радиовещательная,USA,EWTN (WEWN)
7.4500,Херсон,24 декабря 2013,AM,Голос,Радиовещательная,Iran,VOIRI
7.4450,Херсон,24 декабря 2013,AM,Голос,Радиовещательная,China,China R. I.
7.4250,Херсон,24 декабря 2013,AM,Голос,Радиовещательная,Iran,VOIRI
7.4050,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,USA,R. Marti
7.4000,Херсон,24 декабря 2013,AM,Голос,Радиовещательная,Austria,TWR Europe
7.4000,Херсон,24 декабря 2013,AM,Голос,Радиовещательная,Iran,VOIRI
163.2250,Санкт-Петербург,24 декабря 2013,NFM,DMR/MOTOTRBO,Сухопутная подвижная,Наземная служба аэропорта Пулково,
133.1250,Тирасполь,25 декабря 2013,AM,Голос,Воздушная подвижная,РПИ София,София-Радар
162.1000,Рига,24 декабря 2013,NFM,Голос,Морская подвижная,Рижский порт. Судостроительный завод.,Riga radio-13
162.3750,Рига,24 декабря 2013,NFM,Голос,Морская подвижная,Рижский порт. Служба морского канала.,Riga radio-20
7.3950,Херсон,23 декабря 2013,AM,Голос,Радиовещательная,Japan via Madagascar,R. Japan NHK World
7.3350,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,Romania,R. Romania I.
7.3350,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,Tunisia,RTV Tunisia
156.2500,Прокопьевск,24 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Разрез Березовский (репитер),"Номера самосвалов, Экскаваторов"
7.3100,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,Russian Federation,R. Russia
102.7000,Астана,24 декабря 2013,WFM,Голос,Радиовещательная,Астана,Радио Классика
421.9250,Дюртюли,24 декабря 2013,NFM,Голос,Сухопутная подвижная,транковая связь,
422.7500,Дюртюли,24 декабря 2013,NFM,Голос,Сухопутная подвижная,монтажники пожарной сигнализации,по именам
421.8500,Дюртюли,24 декабря 2013,NFM,Голос,Сухопутная подвижная,"транковая связь , Башнефть",
421.4500,Дюртюли,24 декабря 2013,NFM,Голос,Сухопутная подвижная,"транковая связь , Башнефть",
421.1750,Дюртюли,24 декабря 2013,NFM,Голос,Сухопутная подвижная,"транковая связь , Башнефть",
331.0750,Дюртюли,24 декабря 2013,NFM,Голос,Сухопутная подвижная,транковая связь,
26.9750,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,автоканал г.Дюртюли,"Пиночет, Монах, Транзит, Джо, Семидесятый и др."
7.2750,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,"China, East Turkestan",PBS Xinjiang
331.7500,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,транковая связь,
7.2400,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,Turkey,V. of Turkey
331.6000,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,транковая связь,
433.4750,Дюртюли,7 ноября 2013,NFM,Голос,Сухопутная подвижная,Вызывной канал по г. Дюртюли,"Монах, Пиночет, Транзит, Папуас, Семидесятый и др."
7.2050,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,Sudan,Sudan R.
7.1200,Херсон,22 декабря 2013,AM,Голос,Радиовещательная,Somali,R. Hargeysa
167.2000,Дюртюли,23 декабря 2013,цифровая,DRCMSK,Фиксированная (телеметрия),телеметрия,
159.3250,Дюртюли,23 декабря 2013,цифровая,DRCMSK,Фиксированная (телеметрия),телеметрия,
158.4750,Дюртюли,23 декабря 2013,цифровая,DRCMSK,Фиксированная (телеметрия),телеметрия,
157.1250,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,уточняется,Цифровые
157.0500,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,"нефтяники, КРС Башнефть","Дирижабль, цифровые"
159.8750,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,транковая связь,
164.6500,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,"транковая связь , Башнефть",
434.2500,Дюртюли,23 декабря 2013,NFM,Голос,Сухопутная подвижная,"такси , Бураево",Цифровые
433.1500,Дюртюли,22 декабря 2013,NFM,Голос,Сухопутная подвижная,такси г.Нефтекамск,Диспетчер и машины по номерным позывным
433.6500,Дюртюли,22 декабря 2013,NFM,Голос,Сухопутная подвижная,такси г.Нефтекамск,Диспетчер и машины по номерным позывным
27.8600,Балтийск,21 декабря 2013,NFM,Голос,Сухопутная подвижная,"Такси г. Балтийск, предположительно ""Сфера""",номера
359.9750,Дюртюли,22 декабря 2013,NFM,Голос,Сухопутная подвижная,,Алмаз
158.2250,Псков,22 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,"ТЦ""Империал""",Цифровые
45.6500,Белгородская обл.,20 декабря 2013,NFM,Голос,Сухопутная подвижная,"ОАО ""КМАпроектжилстрой""",
47.4500,Белгородская обл.,20 декабря 2013,NFM,Голос,Сухопутная подвижная,"ОАО  ""Лебединский горно-обогатительный комбинат""",
42.8500,Белгородская обл.,20 декабря 2013,NFM,Голос,Сухопутная подвижная,"ОАО ""Лебединский горно-обогатительный комбинат""",
36.4250,Белгородская обл.,20 декабря 2013,NFM,Голос,Сухопутная подвижная,"ОАО ""Стойленский горно-обогатительный комбинат""",
27.0350,Уфа,21 декабря 2013,NFM,Голос,Сухопутная подвижная,"""Квазар""  автоканал, дорожная обстановка, помощь на дорогах,",Различные позывные
165.7750,Одесская обл.,21 декабря 2013,NFM,Голос,Фиксированная,ОАО «Одесский припортовый завод»,Насосная и несколько фамилий
161.3500,Прокопьевск,21 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Разрез какой-то,"Номера самосвалов, Экскаваторов"
106.4000,Волгоград,21 декабря 2013,WFM,Голос,Радиовещательная,"Радио ""Книга""",
433.1250,Волгоград,21 декабря 2013,NFM,Голос,Сухопутная подвижная,"Служба безопасности ТРК ""Европа Сити Молл""","""Мониторная"", ""Центральная парковка"", имена охранников"
6.1900,Херсон,18 декабря 2013,AM,Голос,Радиовещательная,China,China National R.
164.6750,Кисловодск,20 декабря 2013,NFM,Голос,Сухопутная подвижная,Электросеть,
6.1350,Херсон,18 декабря 2013,AM,Голос,Радиовещательная,Iran,VOIRI
6.1150,Херсон,18 декабря 2013,AM,Голос,Радиовещательная,China,China R. I.
6.0800,Херсон,18 декабря 2013,AM,Голос,Радиовещательная,China,China National R.
5.9300,Херсон,18 декабря 2013,AM,Голос,Радиовещательная,Vietnam via UK,V. of Vietnam
152.5000,Воскресенск,19 декабря 2013,NFM,Голос,Сухопутная подвижная,жд ст.Лопатино,Не установлены
156.3750,Челябинск,18 декабря 2013,NFM,Голос,Сухопутная подвижная,Структура МЧС,300-й диспетчер
6.0750,Херсон,17 декабря 2013,AM,Chinese Firedrake,Радиовещательная,China,-
6.0700,Херсон,17 декабря 2013,AM,Голос,Радиовещательная,Cuba,R. Habana Cuba
153.3000,Ярославль,18 декабря 2013,NFM,Голос,Сухопутная подвижная,Сев.ЖД ст. Филино,"Фамилии дежурных, машинистов, номера локомотивов."
153.2000,Ярославль,18 декабря 2013,NFM,Голос,Сухопутная подвижная,Сев.ЖД ст. Приволжье,"Фамилии дежурных, машинистов, номера локомотивов."
5.9750,Херсон,16 декабря 2013,AM,Голос,Радиовещательная,USA via France,Adventist World R.
5.8650,Херсон,15 декабря 2013,AM,Chinese Firedrake,Радиовещательная,China,-
404.7000,Экибастуз,18 декабря 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Престиж""",По именам водителей и номерам машин
144.7750,Воронеж,17 декабря 2013,NFM,Голос + CTCSS 67 Hz,Любительская,EchoLink,Любительские
5.9200,Херсон,16 декабря 2013,AM,Голос,Радиовещательная,Iran,VOIRI
5.9200,Херсон,16 декабря 2013,AM,Голос,Радиовещательная,USA,WHRI Cypress
5.8550,Херсон,15 декабря 2013,AM,Голос и RDFT,Номерная станция,Cuba,HM01
5.8250,Херсон,15 декабря 2013,AM,Голос,Радиовещательная,USA via Tajikistan,R. Free Asia
5.0400,Херсон,14 декабря 2013,AM,Голос,Радиовещательная,Cuba,R. Habana Cuba
408.5000,Экибастуз,16 декабря 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Удача""",По именам водителей и номерам машин
407.3000,Экибастуз,16 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Такси,По именам водителей и номерам машин
414.5500,Экибастуз,16 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,"Такси ""Эдельвейс""",По именам водителей и номерам машин
406.2750,Экибастуз,16 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,По именам водителей и номерам машин
154.6250,Кунцево,15 декабря 2013,NFM,Голос,Сухопутная подвижная,ЖД станция Очаково-3,
29.1750,Ковров,15 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,
429.1250,Алматы,14 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана, ЧОП",номерные
446.3000,Львов,14 декабря 2013,NFM,Голос,Сухопутная подвижная,"ТЦ ""Эпицентр"", Б. Хмельницкого, 188а","Номерные, ПАРКАОВКА"
457.8000,Алматы,14 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,"пятёрочка, номерные"
128.1000,Горно-Алтайск,14 декабря 2013,AM,Голос,Воздушная подвижная,Аэропорт г. Горно-Алтайск,Метео
133.0000,Горно-Алтайск,14 декабря 2013,AM,Голос,Воздушная подвижная,Аэропорт г. Горно-Алтайск,Диализ
29.4050,Ковров,14 декабря 2013,NFM,Голос,иное (см. комментарий),Такси,
151.9250,Архара,14 декабря 2013,NFM,Голос,Сухопутная подвижная,ОАО РЖД,
28.7850,Ковров,14 декабря 2013,NFM,Голос,иное (см. комментарий),Такси,
29.3050,Ковров,14 декабря 2013,NFM,Голос,иное (см. комментарий),Такси,
29.9550,Ковров,14 декабря 2013,NFM,Голос,иное (см. комментарий),Такси,
27.6650,Ковров,14 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,
26.7750,Ковров,14 декабря 2013,AM,Голос,Сухопутная подвижная,Такси,
25.5250,Ковров,14 декабря 2013,AM,Голос,Сухопутная подвижная,Такси,
29.1650,Ковров,14 декабря 2013,NFM,Голос,иное (см. комментарий),Такси,
28.1750,Ковров,14 декабря 2013,AM,Голос,иное (см. комментарий),Такси,
446.4000,Львов,14 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана и хоз. служба ТЦ ""Эпицентр"" возле АС-2",номерные
165.1500,Николаев,14 декабря 2013,NFM,Голос,Сухопутная подвижная,Скорая помощь,"Лиана, по номерам"
158.3500,Алматы,14 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,"номерные, Мега"
153.9500,Алматы,13 декабря 2013,NFM,Голос,Сухопутная подвижная,"Железная дорога, ст. Алматы 2, диспетчер, машинисты",
153.8500,Алматы,13 декабря 2013,NFM,Голос,Сухопутная подвижная,"Железная дорога, ст. Алматы 1, составители","дежурный, номера путей, поездов"
102.9000,Ленинградская обл.,12 декабря 2013,WFM,Голос,Радиовещательная,г. Лодейное Поле,Дорожное радио (M-18 KOLA)
0.4150,Москва,13 декабря 2013,AM,Morse,Радионавигационная,"ОПРС Скурыгино, Московская область (KO85qf)",DR
152.9000,Ленинградская обл.,12 декабря 2013,NFM,Голос,Сухопутная подвижная,РЖД ст. Лодейное Поле,№ локомотива и по именам
29.6000,Санкт-Петербург,12 декабря 2013,NFM,Голос,иное (см. комментарий),Радиохулиганы,
460.3500,Алматы,12 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,"Гранит, номерные"
405.2500,Алматы,12 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана, ЧОП",номерные
424.3000,Алматы,11 декабря 2013,NFM,SmartZone,Сухопутная подвижная,"Alma TV, кабельное телевидение и интернет","номера бригад, фамилии"
164.4500,Алматы,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"Аэропорт Алматы,  наземные службы",номерные
162.4500,Алматы,11 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,"Такси ""Элит""",номерные
428.8500,Алматы,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана, ЧОП","номерные, названия объектов"
423.6750,Алматы,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Camry""","номерные, Камри"
157.5500,Алматы,11 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,"Такси ""Форсаж""","Форсаж, номерные"
145.3375,Орехово-Зуево,11 декабря 2013,NFM,Голос,Любительская,Эхолинк,Любительские
145.6000,Орехово-Зуево,11 декабря 2013,NFM,Голос,Любительская,Эхолинк,Любительские
154.0000,Белгородская обл.,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"РЖД, станция Свекловичная",дежурный Свекловичная
434.8375,Орехово-Зуево,11 декабря 2013,NFM,Голос,Любительская,,Радиолюбительские
405.1750,Алматы,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана, ЧОП",номерные
428.5000,Алматы,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана, ЧОП ИНТЕЛ-МОНИТОРИНГ","Балхаш, Регион, номерные, названия объектов"
405.0750,Алматы,11 декабря 2013,NFM,Голос,Сухопутная подвижная,"Охрана, ЧОП","по объектам, по номерам"
161.8750,Алматы,10 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,номерные
157.8750,Алматы,10 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Такси,"Мотор, номерные"
101.5000,Сочи,10 декабря 2013,WFM,Голос,Радиовещательная,RT ( Russia Today ),
158.9750,Алматы,8 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Такси,"Адмирал, номерные"
157.9000,Алматы,8 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Такси,"Комета, номерные"
422.5500,Алматы,8 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,номерные
423.0500,Алматы,8 декабря 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Orange""","Orange, номерные"
422.8000,Алматы,8 декабря 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Orange""","Orange, Байкал, номерные"
0.8520,Москва,8 декабря 2013,AM,Morse,Радионавигационная,"ОПРМ аэропорта Внуково, Московская обл.",OB
28.5500,Орехово-Зуево,7 декабря 2013,USB,Голос,Любительская,Ежевечерний круглый стол Орехово-Зуевского района,
433.7000,Жуковский,23 августа 2013,NFM,Голос,Сухопутная подвижная,"Супермаркет Атак, охрана, кассиры","По именам, должностям"
42.6500,Югорск,6 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,номерные
154.6000,Николаев,6 декабря 2013,NFM,Голос,Сухопутная подвижная,ЖД,
163.5125,Харьков,5 декабря 2013,AM,Голос,Воздушная подвижная,аэропорт,номерные
153.9000,Кировоградская обл.,5 декабря 2013,NFM,Голос,Сухопутная подвижная,Маневровая на ст. Долинская,"ДСП, сигналисты, составителя, номера локомотива"
152.2000,Воронеж,5 декабря 2013,NFM,Голос,Сухопутная подвижная,Маневровая ЖД связь,
152.0000,Воронеж,5 декабря 2013,NFM,Голос,Сухопутная подвижная,Маневровая ЖД связь,
159.2000,Воронеж,5 декабря 2013,NFM,POCSAG,Пейджинговая,"ЗАО ""Ньюком пейдж""",
156.4750,Николаев,5 декабря 2013,NFM,Голос,Морская подвижная,,Название судна
153.2000,Николаев,5 декабря 2013,NFM,Голос,Сухопутная подвижная,ЖД,номера
153.1000,Николаев,5 декабря 2013,NFM,Голос,Сухопутная подвижная,ЖД,номера
151.9500,Кисловодск,4 декабря 2013,NFM,Голос,Сухопутная подвижная,ЖД,
145.2250,Кемерово,1 января 2015,NFM,Голос,Любительская,Эхолинк,Любительские
157.5750,Сумы,3 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси 1585,"Маячок - диспетчер, цифровые - водитель"
484.9000,Москва,3 декабря 2013,NFM,EDACS,Сухопутная подвижная,"Один из транковых голосовых каналов ЗАО ""Центр-Телко""",имена и номерные позывные
26.9750,Уфа,3 декабря 2013,NFM,Голос,Сухопутная подвижная,Авторадиоклуб г.Уфы,"словесные ""Админ"", ""Телецентр"", ""Тагил"" и т.д."
104.1000,Рязань,3 декабря 2013,WFM,Голос,Радиовещательная,"Радио ""NRG""",
154.3750,Конаково,2 декабря 2013,NFM,Голос,Сухопутная подвижная,Используется машинистом и составителем,"""1120"", Диспетчер"
157.9500,Верхняя Пышма,2 декабря 2013,NFM,Голос + DCS,Сухопутная подвижная,ЧОП ШЕРИФ,Номерные
27.9050,Верхняя Пышма,2 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,номерные и по именам
403.2000,Верхняя Пышма,2 декабря 2013,NFM,Голос + CTCSS,Сухопутная подвижная,ЧОП СКАТ,Номерные
27.3850,Киров,1 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,
27.2550,Киров,1 декабря 2013,NFM,Голос,Сухопутная подвижная,Такси,
27.3550,Киров,1 декабря 2013,NFM,Голос,Сухопутная подвижная,Автомобильный радиоканал,
27.0650,Киров,1 декабря 2013,NFM,Голос,Сухопутная подвижная,Автобусы,
27.0150,Киров,1 декабря 2013,NFM,Голос,Сухопутная подвижная,Автобусы,
433.1750,Тамбов,1 декабря 2013,NFM,Голос,,"Гипермаркет  ""Акварель""",По номерам
19.4600,Иркутск,1 декабря 2013,AM,Голос,Радиовещательная,КНДР,Voicе of Кorеа
168.0750,Алушта,30 ноября 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Крымэнерго (Ахметофф пауэр компани),Береза и по номерам бригад
151.8250,Сочи,29 ноября 2013,NFM,Голос,Сухопутная подвижная,ОАО РЖД,
164.7750,Ставрополь,28 ноября 2013,NFM,Голос,Сухопутная подвижная,ЧОП,
15.2500,Ленинградская обл.,28 ноября 2013,AM,Голос,Радиовещательная,Iran,Voice of the Islamic Republic of Iran( IRIB)
15.7450,Ленинградская обл.,28 ноября 2013,AM,Голос,Радиовещательная,Росссия,Voice of Russia
15.2000,Ленинградская обл.,28 ноября 2013,AM,Голос,Радиовещательная,Румыния,Radio Romania Int.
156.0125,ХМАО,27 ноября 2012,NFM,Голос,Сухопутная подвижная,"Управление, сантехучасток,электроцех",
153.1000,ХМАО,25 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси г. Радужный,
151.2250,ХМАО,25 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси г. Радужный,
433.1750,Санкт-Петербург,26 ноября 2013,NFM,Голос,Сухопутная подвижная,"ЧОП ""Комбат Защита"".Охрана ТРЦ ""Ситимолл"" на Пионерской.",
21.7000,Ленинградская обл.,26 ноября 2013,AM,Голос,Радиовещательная,USA,Radio Free Asia
406.2000,Новосибирск,25 ноября 2013,NFM,Голос,Сухопутная подвижная,Скорая помощь,Медик-300 (Медик) и экипажи скорых по номерам.
4.1200,Иркутск,25 ноября 2013,USB,Голос,Морская подвижная,Бассейновое управление пути,
425.4000,Киев,14 января 2013,NFM,Голос,Сухопутная подвижная,Службы ТРЦ «Океан-плаза»,"Диспетчер, Парк-1, Днепр, по номерам, по именам"
133.6750,Одесская обл.,23 ноября 2013,AM,Голос,Воздушная подвижная,Бухарест,
406.2500,Новосибирск,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Скорая помощь,Медик-100 (Медик) и экипажи скорых.
148.8750,Киров,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Пожарная охрана,"""Заря"" + другие + по номерам"
152.2000,Киров,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Ж/д,
153.4000,Киров,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Ж/д,
152.7500,Киров,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Ж/д маневровая,
168.2250,Киров,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,
168.0250,Казань,1 января 2012,NFM,Голос,Сухопутная подвижная,Приволжские Электросети,Лань
167.9500,Казань,7 марта 2005,NFM,Голос,Сухопутная подвижная,Энергетики,
164.6250,Ставрополь,22 ноября 2013,NFM,Голос,Сухопутная подвижная,Инкассация,Клен + цифровые
154.5000,Горно-Алтайск,22 ноября 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Восток""",
439.8750,Кемерово,21 ноября 2013,NFM,Голос + CTCSS,Любительская,Репитер,радиолюбительские
145.7250,Кемерово,21 ноября 2013,NFM,Голос,Любительская,Репитер,радиолюбительские
153.6500,Петропавловск-Камчатский,21 ноября 2013,NFM,Голос,Сухопутная подвижная,Старкам,
451.4250,Алматы,21 ноября 2013,NFM,Голос,Сухопутная подвижная,"Такси ""Форсаж""","Форсаж, номерные"
433.0750,Тамбов,20 ноября 2013,NFM,Голос,Сухопутная подвижная,"Контролеры Магазин Европа, на ул.Рылеева",
433.0750,Углич,20 ноября 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Охрана ГЭС,Центральный; по номерам
4.4410,Ставище,17 ноября 2013,USB,Голос,Номерная станция,"Польская внешняя разведка, Agencja Wywiadu, AW","G11 ""Strich"""
153.0000,Асбест,15 марта 2011,NFM,Голос,Сухопутная подвижная,"ОАО ""РЖД""","Станция ""Асбест"""
154.7500,Асбест,20 января 2011,NFM,Голос,Сухопутная подвижная,"ОАО ""Ураласбест""",По названиям станций и номерам электровозов
154.6500,Асбест,20 января 2011,NFM,Голос,Сухопутная подвижная,"ОАО ""Ураласбест""",По названиям станций и номерам электровозов
154.4500,Асбест,20 января 2011,NFM,Голос,Сухопутная подвижная,"ОАО ""Ураласбест""",По названиям станций и номерам электровозов
153.9500,Киров,20 ноября 2013,NFM,Голос,Сухопутная подвижная,ст. Заводская.,"Заводская, по номерам локомотивам."
153.1000,Конаково,20 ноября 2013,NFM,Голос,Сухопутная подвижная,ЖД ст. Конаково ГРЭС,"ДСП: ""Конаково""; маневровый тепловоз - ""1120"""
131.7000,Киров,20 ноября 2013,AM,Голос,Воздушная подвижная,Аэропорт Победилово.,Киров-Транзит.
161.4250,Казань,19 ноября 2013,NFM,Голос,Сухопутная подвижная,"Нефтяники,выход репитера казанского",
161.4000,Казань,19 ноября 2013,NFM,Голос,Сухопутная подвижная,"Нефтяники, + выход в телефонную линию",
167.6750,Белгородская обл.,19 ноября 2013,NFM,Голос,Сухопутная подвижная,Электросети Бобрава,
157.5500,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Техническая связь Алчевского металлургического завода,
150.5500,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Техническая связь Алчевского металлургического завода,
150.5000,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Техническая связь Алчевского металлургического завода,
46.1250,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,
44.4750,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,
36.9250,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,по номерам
36.5750,Алчевск,18 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,по номерам
88.0000,Киев,17 ноября 2013,WFM,Голос,иное (см. комментарий),Радиохулиган,YELOWFM TROYA
433.0000,Москва,17 ноября 2013,NFM,Голос,Сухопутная подвижная,"Предположительно охрана магазина ""Любимый""",Воздух и по номерам постов
154.7500,Архара,16 ноября 2013,NFM,Голос,Сухопутная подвижная,Рарез Широкий в Райчихенске,
164.0500,Казань,15 ноября 2013,NFM,Голос,Сухопутная подвижная,"Аэропорт ""Казань"" наземная служба",
300.0500,Углич,14 ноября 2013,NFM,Голос,Морская подвижная,Речники,
148.3500,Днепропетровск,12 ноября 2013,NFM,Голос,Сухопутная подвижная,"Подразделение судебной милиции ""Грифон""",
1.1880,Ленинградская обл.,13 ноября 2013,AM,Голос,Радиовещательная,Венгрия,MR4
420.3750,Нижневартовск,13 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,Номера
430.0000,Москва,12 ноября 2013,NFM,Голос + CTCSS,Сухопутная подвижная,Каширский Двор 3,Ангар 14 и т.п.
164.8000,Луганск,10 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,По номерам
440.6000,Луганск,10 ноября 2013,NFM,Голос,Сухопутная подвижная,Такси,По номерам
15.1800,Ленинградская обл.,10 ноября 2013,AM,Голос,Радиовещательная,Тайвань,Международное Радио Тайваня (МРТ)
446.3125,Киев,6 ноября 2013,NFM,Голос,Сухопутная подвижная,"Охрана ТЦ ""Мандарин Плаза""",
172.7250,Ивано-Франковск,6 ноября 2013,NFM,Голос,Сухопутная подвижная,МЧС/ГСЧС/ДСНС (пожарные),Шостка и другие
164.9000,Иваново,8 ноября 2013,NFM,Голос,Сухопутная подвижная,ЧОП,"Кедр, номерные, по именам"
412.5375,Воронеж,8 ноября 2013,NFM,Голос,Сухопутная подвижная,МЧС России по Воронежской области,Номерные
148.3375,Воскресенск,8 ноября 2013,NFM,Голос,Сухопутная подвижная,ОАО Воскресенские Минеральные удобрения,по именам и отчествам
27.7200,Жуковский,25 октября 2013,NFM,Голос + CTCSS 114.8,Сухопутная подвижная,Такси г.Жуковский,«База»+по номерам
153.0000,Арзамас,2 ноября 2013,NFM,Голос,Сухопутная подвижная,РЖД станция Арзамас-2,Номера локомотивов
