frequency,place,observation_date,modulation,type_signal,radio_service,affiliation,call_sign
433.0000,Москва,1 августа 2022,NFM,Голос + DCS 343,Сухопутная подвижная,Охрана парка кузьминки,По номерам постов
446.03125,Москва,1 августа 2022,NFM,Голос + CTCSS 67.0,Сухопутная подвижная,Канал №3 PMR диапазона. Персонал аттракционов парк кузьминки,По именам
400.0500,Москва,1 августа 2022,NFM,Голос,Сухопутная подвижная,Охрана Торговый Дом Перовский,Не установлены
436.9750,Санкт-Петербург,11 июня 2022,NFM,Голос + DCS,иное (см. комментарий),Музейно-исторический парк Остров Фортов г. Кронштадт,цифровые
122.3000,Мичуринск,10 июня 2022,AM,Голос,Метеорологическая,Липецк АТИС,
168.4250,Заринск,10 июня 2022,NFM,Голос,Сухопутная подвижная,Газовщики,По названиям населённых пунктов
7.3600,Саратов,10 июня 2022,AM,Голос,Радиовещательная,Великобритания,BBC
7.2900,Саратов,10 июня 2022,AM,Голос,Радиовещательная,США,Adventist World Radio
7.4200,Саратов,10 июня 2022,AM,Голос,Радиовещательная,Румыния,Радио Румынии
432.7250,Рыбинск,8 июня 2022,NFM,Голос,Сухопутная подвижная,Пожарная охрана МЧС - основной канал,"Городок, Ежово, Берёзки, Майский, Афонино, Васино, Угодье, Кедровка, Титово, Фролово, Болтино, цифр."
446.05625,Рыбинск,8 июня 2022,NFM,Голос,Сухопутная подвижная,5 канал PMR диапазона.,Не установлены
9.4400,Саратов,29 мая 2022,AM,Голос,Радиовещательная,Румыния,Радио Румынии
9.4800,Саратов,29 мая 2022,AM,Голос,Радиовещательная,Radio Free Afganistan,Radio Azadi
9.4900,Саратов,29 мая 2022,AM,Голос,Радиовещательная,NHK World Japan,Radio of Japan
27.0000,Магнитогорск,28 мая 2022,NFM,Голос,иное (см. комментарий),Любители Си Би г. Магнитогорска,Произвольные
9.9200,Саратов,28 мая 2022,AM,Голос,Радиовещательная,Far East Broadcasting Company Philippines,Radio Teos
434.4375,Санкт-Петербург,25 мая 2022,NFM,Голос + DCS 023,Сухопутная подвижная,"УФПС, ПЧ, МЧС",Цифровые и по именам
155.3750,Московская обл.,25 мая 2022,NFM,Голос,Сухопутная подвижная,РЖД станция Балашиха (маневровый канал),Балашиха-дежурный
13.0890,Ленинградская обл.,23 мая 2022,USB,Голос,Метеорологическая,США,NRV USCG Guam
16.9000,Улан-Удэ,19 мая 2022,CW,Morse,,,- ... ... --.    --- --- --- ---
0.3200,Улан-Удэ,19 мая 2022,CW,Morse,,по направлению сигнала маяка это сторона аэропорта Байкал УУ,- - .. (Z)
433.1000,Заринск,14 мая 2022,NFM,Голос + CTCSS,Сухопутная подвижная,Рабочие какого-то предприятия,Не установлены
125.2500,Минеральные Воды,11 мая 2022,AM,Голос,Фиксированная,Аэропорт г.Минеральные Воды,
127.4000,Минеральные Воды,11 мая 2022,AM,Голос,Фиксированная,Аэропорт г.Минеральные Воды,
433.1000,Симферополь,12 мая 2022,NFM,Голос + CTCSS,Сухопутная подвижная,Охрана ТЦ Меганом,1-15
156.6000,Тамбов,9 мая 2022,NFM,Голос,Сухопутная подвижная,Администрация,"по фамилиям, именам и отчествам"
160.4250,Тамбов,10 мая 2022,NFM,Голос,Сухопутная подвижная,"АО ""Газпром трансгаз Москва""",Не установлены
168.2250,Тамбовская обл.,8 мая 2022,NFM,Голос,Сухопутная подвижная,такси,Не установлены
167.8125,Тамбов,10 мая 2022,NFM,ARCNET+ctcss77.0,Сухопутная подвижная,"""Связь объектов транспорта и добычи нефти""",
167.8000,Тамбов,10 мая 2022,NFM,ARCNET+ctcss74.4,Сухопутная подвижная,"""Связь объектов транспорта и добычи нефти""",
167.7750,Тамбов,10 мая 2022,NFM,ARCNET+ctcss 67.0,Сухопутная подвижная,"АО ""Связь объектов транспорта и добычи нефти""",
167.7000,Тамбовская обл.,10 мая 2022,NFM,Голос,Сухопутная подвижная,Россети. Связь с ремонтными бригадами,Не установлены
164.8250,Тамбов,11 мая 2022,NFM,"Голос + CTCSS 131,8",Сухопутная подвижная,Государственная фельдегерская служба,Звезда и цифровые
163.2750,Тамбов,11 мая 2022,NFM,Голос,Сухопутная подвижная,"ООО ""ЧОП ""Стражник""",Не установлены
162.7000,Тамбов,10 мая 2022,NFM,Голос,Сухопутная подвижная,ООО Газпром трансгаз,см. описание
160.9750,Тамбовская обл.,8 мая 2022,NFM,Голос,Сухопутная подвижная,такси (см.описание),Не установлены
158.3750,Тамбов,8 мая 2022,цифровая,DMR,Сухопутная подвижная,Сбербанк,"Возможно ""входная"" частота репы. Активность была зафиксирована лишь пару раз"
158.1250,Тамбов,10 мая 2022,NFM,цифровой,Фиксированная (телеметрия),"Частное охранное предприятие ""Круг""",РЭС охранной сигнализации
